date,description,amount
2026-06-01,Employer Payroll Direct Deposit,2800.00
2026-06-01,Landlord Rent Payment,-1800.00
2026-06-01,Airbnb Booking,-218.76
2026-06-02,CVS Pharmacy,-15.12
2026-06-03,Netflix Subscription,-15.00
2026-06-03,Spotify Subscription,-11.00
2026-06-03,Amazon Prime Membership,-14.00
2026-06-03,Amazon.com Purchase,-71.96
2026-06-03,Airbnb Booking,-204.66
2026-06-04,Whole Foods Market,-84.90
2026-06-05,Comcast Internet Bill,-84.03
2026-06-05,City Electric Utility,-93.56
2026-06-05,DoorDash,-39.28
2026-06-05,Airbnb Booking,-351.45
2026-06-07,AMC Cinema,-21.42
2026-06-07,Airbnb Booking,-174.18
2026-06-10,Shell Gas Station,-33.15
2026-06-12,Chipotle Restaurant,-20.57
2026-06-12,Airbnb Booking,-206.97
2026-06-13,Trader Joe's,-81.32
2026-06-14,Metro Transit,-4.54
2026-06-15,Employer Payroll Direct Deposit,2800.00
2026-06-15,Chipotle Restaurant,-20.05
2026-06-16,Airbnb Booking,-308.74
2026-06-17,Chipotle Restaurant,-12.45
2026-06-19,Target Store,-45.94
2026-06-20,Whole Foods Market,-104.40
2026-06-21,Amazon.com Purchase,-133.31
2026-06-24,Chipotle Restaurant,-21.17
2026-06-26,Uber Trip,-13.92
2026-06-27,Trader Joe's,-75.35
2026-06-28,Starbucks Coffee,-10.34
2026-06-29,Shell Gas Station,-53.84
2026-06-30,Comcast Internet Bill,-87.22
2026-06-30,Airbnb Booking,-330.18
2026-07-01,Employer Payroll Direct Deposit,2800.00
2026-07-01,Landlord Rent Payment,-1800.00
2026-07-02,Target Store,-47.21
2026-07-03,Netflix Subscription,-15.00
2026-07-03,Spotify Subscription,-11.00
2026-07-03,Amazon Prime Membership,-14.00
2026-07-03,Whole Foods Market,-116.31
2026-07-04,Comcast Internet Bill,-85.24
2026-07-05,Comcast Internet Bill,-72.13
2026-07-05,City Electric Utility,-110.02
2026-07-06,Uber Trip,-28.59
2026-07-08,Uber Trip,-21.19
2026-07-08,Airbnb Booking,-240.75
2026-07-10,Chipotle Restaurant,-23.17
2026-07-11,Metro Transit,-5.26
2026-07-12,Starbucks Coffee,-5.03
2026-07-13,DoorDash,-30.83
2026-07-15,Employer Payroll Direct Deposit,2800.00
2026-07-19,Trader Joe's,-50.29
2026-07-20,Chipotle Restaurant,-10.11
2026-07-21,Trader Joe's,-84.33
2026-07-22,Chipotle Restaurant,-14.18
2026-07-23,CVS Pharmacy,-56.78
2026-07-24,AMC Cinema,-25.24
2026-07-25,Target Store,-54.48
2026-07-26,CVS Pharmacy,-12.71
2026-07-27,Airbnb Booking,-332.05
2026-07-28,Airbnb Booking,-197.90
2026-07-29,Starbucks Coffee,-7.38
2026-07-30,Trader Joe's,-56.59
2026-07-31,Whole Foods Market,-92.17
2026-08-01,Employer Payroll Direct Deposit,2800.00
2026-08-01,Landlord Rent Payment,-1800.00
2026-08-01,Trader Joe's,-85.58
2026-08-02,Metro Transit,-3.93
2026-08-03,Netflix Subscription,-15.00
2026-08-03,Spotify Subscription,-11.00
2026-08-03,Amazon Prime Membership,-14.00
2026-08-04,Shell Gas Station,-40.61
2026-08-05,Comcast Internet Bill,-79.10
2026-08-05,City Electric Utility,-93.84
2026-08-06,CVS Pharmacy,-34.33
2026-08-07,Whole Foods Market,-86.33
2026-08-08,Airbnb Booking,-296.04
2026-08-09,Comcast Internet Bill,-73.15
2026-08-10,Starbucks Coffee,-4.55
2026-08-10,Airbnb Booking,-365.45
2026-08-11,Amazon.com Purchase,-48.24
2026-08-13,Comcast Internet Bill,-76.33
